prompt_id,prompt_name,mean_clip,mean_delta_clip,min_delta_clip,max_delta_clip,clip_win_rate,mean_siglip,mean_delta_siglip,min_delta_siglip,max_delta_siglip,siglip_win_rate,n
main_subject_first,Main subject first,0.3334440022706985,0.011540701985359192,-0.00016698241233820132,0.03259673714637751,0.9,0.20009917020797724,0.008455489575862887,-0.01195542514324191,0.026663035154342596,0.8,10
branch_distinctive_object,Branch: distinctive object,0.3289512276649475,0.00704792737960816,-0.0215062797069549,0.0322811603546142,0.7,0.19804111421108245,0.006397433578968062,-0.021113663911819402,0.0373027622699737,0.6,10
semantic_with_uncertainty_control,Semantic with uncertainty control,0.33556143939495087,0.013658139109611523,-0.0092953741550445,0.03330034017562872,0.8,0.19705100953578944,0.005407328903675085,-0.015830859541892978,0.02392223477363581,0.7,10
branch_semantic_uncertainty,Branch: semantic and uncertainty,0.32548475861549375,0.0035814583301544247,-0.029145509004592896,0.03373804688453669,0.5,0.19415875226259227,0.0025150716304779023,-0.0233928710222244,0.03699792921543121,0.6,10
branch_retrieval_style,Branch: retrieval style,0.32975657284259796,0.007853272557258617,-0.047122061252593994,0.03418493270874029,0.7,0.193550756573677,0.0019070759415626582,-0.03341744840145108,0.0492876470088959,0.5,10
branch_foreground_vs_scene,Branch: foreground vs scene,0.3276761144399643,0.00577281415462495,-0.02003389596939087,0.026989549398422297,0.7,0.1927748247981071,0.0011311441659927312,-0.016708701848983792,0.02689248323440549,0.4,10
clip_friendly,CLIP-friendly,0.32987232208251954,0.007969021797180186,-0.015424370765686035,0.0349555909633637,0.6,0.19231238216161725,0.0006687015295028853,-0.0099248588085174,0.02215747535228732,0.4,10
baseline,Baseline,0.3219033002853393,0.0,0.0,0.0,0.0,0.19164368063211437,0.0,0.0,0.0,0.0,10
dense_visual,Dense visual caption,0.3240257143974304,0.0021224141120910534,-0.014007866382598877,0.02615919709205622,0.5,0.19077484011650078,-0.0008688405156135725,-0.02420555055141449,0.020370826125144986,0.5,10
branch_clean_vs_cluttered_scene,Branch: clean vs cluttered scene,0.31870403289794924,-0.00319926738739012,-0.025248080492019598,0.031043291091918945,0.5,0.187645111978054,-0.003998568654060369,-0.04259936511516571,0.028423413634300287,0.4,10
branch_single_vs_multi_people,Branch: single vs multi people,0.3058756351470947,-0.016027665138244624,-0.07418152689933777,0.028453141450881902,0.3,0.18711180388927456,-0.004531876742839816,-0.04134105145931238,0.03167073428630829,0.5,10
caption_for_retrieval,Caption for retrieval,0.3246946960687637,0.002791395783424383,-0.04052400588989258,0.04628372192382818,0.6,0.18662934750318522,-0.005014333128929141,-0.0242516100406647,0.01436690986156458,0.5,10
compact_grounded_detail,Compact grounded detail,0.3194770514965057,-0.002426248788833618,-0.057628154754638616,0.034880965948104914,0.4,0.18652456402778622,-0.005119116604328159,-0.0335538983345032,0.023762717843055697,0.4,10
branch_with_examples,Branch: with examples,0.3160018622875213,-0.005901437997817999,-0.053232461214065496,0.023344397544860784,0.5,0.18576367944478983,-0.005880001187324532,-0.037699565291404696,0.031077906489372198,0.4,10
careful_semantic_caption,Careful semantic caption,0.32734496295452115,0.0054416626691818236,-0.01997047662734991,0.02303215861320501,0.8,0.1830820515751838,-0.008561629056930534,-0.041197970509529086,0.018594115972518893,0.4,10
no_inference,No inference,0.31980925202369687,-0.0020940482616424562,-0.030885547399520874,0.0512137115001679,0.5,0.1824719488620758,-0.009171731770038594,-0.10476766526699059,0.05063740909099579,0.4,10
people_scene_balance,People-scene balance,0.32908608913421633,0.007182788848876959,-0.02077886462211609,0.026121139526367132,0.7,0.1817869074642658,-0.009856773167848578,-0.05022277683019641,0.04084901511669159,0.3,10
branch_supported_semantic,Branch: supported semantic,0.3232965916395187,0.0013932913541793823,-0.04630586504936218,0.0497511625289917,0.5,0.17127689197659487,-0.02036678865551948,-0.07738932967185971,0.029551655054092407,0.4,10
