prompt_id,prompt_name,mean_clip,mean_delta_clip,clip_win_rate,mean_siglip,mean_delta_siglip,siglip_win_rate,mean_caption_len,generic_rate
semantic_with_uncertainty_control,Semantic with uncertainty control,0.33556143939495087,0.01365813910961151,0.8,0.1970510095357895,0.0054073289036750795,0.7,39.7,0.1
main_subject_first,Main subject first,0.33344400227069854,0.011540701985359192,0.9,0.2000991702079773,0.008455489575862885,0.8,32.2,0.1
clip_friendly,CLIP-friendly,0.32987232208251954,0.007969021797180176,0.6,0.19231238216161728,0.0006687015295028687,0.4,26.3,0.1
branch_retrieval_style,Branch: retrieval style,0.32975657284259796,0.007853272557258605,0.7,0.19355075657367707,0.0019070759415626525,0.5,43.8,0.1
people_scene_balance,People-scene balance,0.32908608913421633,0.007182788848876953,0.7,0.18178690746426582,-0.009856773167848587,0.3,52.2,0.2
branch_distinctive_object,Branch: distinctive object,0.3289512276649475,0.007047927379608155,0.7,0.19804111421108245,0.006397433578968048,0.6,30.9,0.2
branch_foreground_vs_scene,Branch: foreground vs scene,0.3276761144399643,0.005772814154624939,0.7,0.19277482479810715,0.0011311441659927369,0.4,40.0,0.1
careful_semantic_caption,Careful semantic caption,0.3273449629545212,0.0054416626691818236,0.8,0.18308205157518387,-0.008561629056930541,0.4,27.5,0.1
branch_semantic_uncertainty,Branch: semantic and uncertainty,0.32548475861549375,0.003581458330154419,0.5,0.19415875226259233,0.0025150716304779054,0.6,40.1,0.2
caption_for_retrieval,Caption for retrieval,0.3246946960687637,0.0027913957834243774,0.6,0.18662934750318527,-0.005014333128929138,0.5,49.5,0.1
dense_visual,Dense visual caption,0.32402571439743044,0.0021224141120910643,0.5,0.19077484011650087,-0.0008688405156135559,0.5,34.1,0.1
branch_supported_semantic,Branch: supported semantic,0.32329659163951874,0.0013932913541793823,0.5,0.17127689197659493,-0.020366788655519486,0.4,51.6,0.2
baseline,Baseline,0.32190330028533937,0.0,0.0,0.1916436806321144,0.0,0.0,23.8,0.1
no_inference,No inference,0.3198092520236969,-0.0020940482616424562,0.5,0.1824719488620758,-0.009171731770038605,0.4,51.7,0.5
compact_grounded_detail,Compact grounded detail,0.31947705149650574,-0.002426248788833618,0.4,0.18652456402778625,-0.005119116604328155,0.4,33.0,0.1
branch_clean_vs_cluttered_scene,Branch: clean vs cluttered scene,0.31870403289794924,-0.003199267387390137,0.5,0.18764511197805406,-0.003998568654060364,0.4,36.4,0.1
branch_with_examples,Branch: with examples,0.31600186228752136,-0.005901437997817993,0.5,0.1857636794447899,-0.005880001187324524,0.4,44.5,0.1
branch_single_vs_multi_people,Branch: single vs multi people,0.3058756351470947,-0.016027665138244628,0.3,0.1871118038892746,-0.004531876742839813,0.5,54.0,0.2
