prompt_id,prompt_name,mean_clip,mean_delta_clip,min_delta_clip,max_delta_clip,clip_win_rate,mean_siglip,mean_delta_siglip,min_delta_siglip,max_delta_siglip,siglip_win_rate,n
foreground_or_scene_evidence,Foreground or scene evidence,0.3207443118095398,-0.001158988475799555,-0.059057712554931585,0.025766909122467097,0.5,0.19832729101181026,0.006683610379695892,-0.01397658884525299,0.044299051165580694,0.6,10
concrete_scene_evidence,Concrete scene evidence,0.32710039615631104,0.005197095870971685,-0.03498765826225281,0.033284276723861694,0.6,0.1977530717849731,0.006109391152858743,-0.016062781214713995,0.049561202526092585,0.6,10
supported_semantic_compact,Supported semantic compact,0.31459850966930386,-0.007304790616035462,-0.06127828359603882,0.0292607843875885,0.4,0.1968470916152,0.0052034109830856184,-0.057493939995765686,0.05284577608108518,0.6,10
dominant_or_shared_observer,Dominant or shared observer,0.31316783726215364,-0.00873546302318572,-0.050129055976867676,0.021954923868179377,0.3,0.19627293348312375,0.004629252851009369,-0.007914170622825623,0.021133780479431097,0.6,10
visible_action_supported_context,Visible action supported context,0.3271391838788986,0.0052358835935592705,-0.025843203067779486,0.026051700115203802,0.8,0.19607351347804067,0.004429832845926298,-0.014771588146686512,0.022963985800743186,0.5,10
visible_happening_scene_context,Visible happening scene context,0.3296106189489364,0.007707318663597101,-0.012904673814773615,0.04079738259315491,0.8,0.1954083606600761,0.003764680027961739,-0.0389810502529144,0.025272443890571594,0.8,10
observer_visible_happening,Observer visible happening,0.32821275293827057,0.006309452652931219,-0.020016849040985107,0.05282148718833929,0.6,0.1951723471283912,0.003528666496276861,-0.05190801620483401,0.05631941556930539,0.6,10
important_subjects_objects,Important subjects and objects,0.32626862227916714,0.00436532199382782,-0.046834141016006414,0.03130602836608887,0.6,0.19459681063890455,0.002953130006790178,-0.02810563147068021,0.017692506313324002,0.8,10
subject_object_scene_meaning,Subject object scene meaning,0.32126912772655486,-0.0006341725587844738,-0.0343081653118133,0.016079813241958618,0.6,0.19435316026210783,0.0027094796299934553,-0.03274749219417569,0.025853335857391413,0.6,10
observer_retrieval_safe,Observer retrieval safe,0.3206426501274109,-0.0012606501579284558,-0.034917801618575994,0.03431263566017151,0.5,0.19363378435373305,0.001990103721618669,-0.017455950379371588,0.044736534357070895,0.4,10
observer_supported_scene,Observer supported scene,0.3242100656032562,0.0023067653179168757,-0.06254309415817261,0.030494123697280884,0.6,0.19356581717729565,0.001922136545181266,-0.0319629162549972,0.03574499487876889,0.5,10
observer_compact_specific,Observer compact specific,0.32007099986076354,-0.0018323004245758001,-0.04283621907234192,0.01307821273803711,0.6,0.19326569139957422,0.0016220107674598777,-0.01558549702167511,0.015825882554054316,0.5,10
visible_happening_subject_object,Visible happening subject-object,0.32929873764514916,0.007395437359809876,-0.01984840631484991,0.028025507926940918,0.7,0.1929982155561447,0.0013545349240303179,-0.026433363556861877,0.028503209352493314,0.4,10
baseline,Baseline,0.3219033002853393,0.0,0.0,0.0,0.0,0.19164368063211437,0.0,0.0,0.0,0.0,10
specific_scene_careful_observer,Specific scene careful observer,0.32580742537975305,0.0039041250944137516,-0.01374951004981989,0.023416250944137518,0.8,0.18931440711021422,-0.002329273521900155,-0.02250824868679041,0.011803627014160184,0.4,10
specific_but_cautious,Specific but cautious,0.32814750671386717,0.006244206428527821,-0.032063305377960205,0.03954455256462097,0.7,0.1860260799527168,-0.0056176006793975716,-0.050599917769432096,0.027408450841903714,0.4,10
important_not_minor,Important not minor,0.32556198835372924,0.003658688068389898,-0.057811200618743896,0.04497060179710388,0.7,0.1860208287835121,-0.005622851848602281,-0.07252050936222071,0.03243543207645419,0.7,10
supported_semantic_subject_first,Supported semantic subject first,0.3336360037326812,0.01173270344734192,-0.024873673915863093,0.0377868115901947,0.7,0.18354065716266627,-0.008103023469448098,-0.06585139036178589,0.0340733528137207,0.4,10
observer_no_unsupported_inference,Observer no unsupported inference,0.328364098072052,0.006460797786712652,-0.02889120578765869,0.049634695053100586,0.6,0.17826601266860959,-0.013377667963504768,-0.08496655523777,0.03283083438873288,0.3,10
supported_semantic_no_mood,Supported semantic no mood,0.3109907925128937,-0.010912507772445661,-0.05717721581459051,0.03786319494247442,0.3,0.17389524132013318,-0.017748439311981203,-0.06817147135734561,0.03273838758468631,0.2,10
