prompt_id,prompt_name,mean_clip,mean_delta_clip,clip_win_rate,mean_siglip,mean_delta_siglip,siglip_win_rate,mean_caption_len,generic_rate
supported_semantic_subject_first,Supported semantic subject first,0.33363600373268126,0.011732703447341947,0.7,0.18354065716266632,-0.008103023469448047,0.4,53.3,0.1
visible_happening_scene_context,Visible happening scene context,0.32961061894893645,0.007707318663597135,0.8,0.19540836066007614,0.0037646800279617725,0.8,34.8,0.1
visible_happening_subject_object,Visible happening subject-object,0.3292987376451492,0.007395437359809904,0.7,0.19299821555614471,0.0013545349240303456,0.4,28.0,0.1
observer_no_unsupported_inference,Observer no unsupported inference,0.328364098072052,0.006460797786712674,0.6,0.1782660126686096,-0.01337766796350475,0.3,52.7,0.2
observer_visible_happening,Observer visible happening,0.32821275293827057,0.006309452652931241,0.6,0.19517234712839127,0.003528666496276897,0.6,52.8,0.1
specific_but_cautious,Specific but cautious,0.32814750671386717,0.0062442064285278594,0.7,0.18602607995271683,-0.005617600679397541,0.4,41.3,0.1
visible_action_supported_context,Visible action supported context,0.3271391838788986,0.005235883593559293,0.8,0.1960735134780407,0.004429832845926326,0.6,31.9,0.1
concrete_scene_evidence,Concrete scene evidence,0.32710039615631104,0.005197095870971708,0.6,0.19775307178497314,0.006109391152858776,0.6,43.5,0.1
important_subjects_objects,Important subjects and objects,0.3262686222791672,0.004365321993827847,0.6,0.19459681063890458,0.002953130006790203,0.8,36.3,0.1
specific_scene_careful_observer,Specific scene careful observer,0.3258074253797531,0.003904125094413785,0.8,0.18931440711021424,-0.0023292735219001353,0.4,34.7,0.1
important_not_minor,Important not minor,0.32556198835372924,0.0036586880683899202,0.7,0.18602082878351212,-0.0056228518486022535,0.7,52.6,0.1
observer_supported_scene,Observer supported scene,0.3242100656032562,0.002306765317916898,0.6,0.19356581717729568,0.001922136545181316,0.5,52.0,0.1
baseline,Baseline,0.3219033002853393,0.0,0.0,0.19164368063211437,0.0,0.0,23.8,0.1
subject_object_scene_meaning,Subject object scene meaning,0.32126912772655486,-0.0006341725587844571,0.6,0.19435316026210786,0.0027094796299934804,0.6,36.1,0.1
foreground_or_scene_evidence,Foreground or scene evidence,0.3207443118095398,-0.0011589884757995327,0.5,0.1983272910118103,0.006683610379695934,0.6,29.6,0.1
observer_retrieval_safe,Observer retrieval safe,0.3206426501274109,-0.001260650157928439,0.5,0.19363378435373307,0.001990103721618694,0.4,31.0,0.1
observer_compact_specific,Observer compact specific,0.32007099986076354,-0.001832300424575778,0.6,0.19326569139957428,0.001622010767459911,0.5,29.8,0.1
supported_semantic_compact,Supported semantic compact,0.3145985096693039,-0.007304790616035434,0.4,0.19684709161520003,0.005203410983085674,0.6,45.8,0.1
dominant_or_shared_observer,Dominant or shared observer,0.31316783726215364,-0.008735463023185702,0.3,0.19627293348312377,0.004629252851009411,0.6,49.7,0.1
supported_semantic_no_mood,Supported semantic no mood,0.3109907925128937,-0.010912507772445651,0.3,0.1738952413201332,-0.01774843931198116,0.2,52.0,0.1
