prompt_id,prompt_name,mean_clip,mean_delta_clip,min_delta_clip,max_delta_clip,clip_win_rate,mean_siglip,mean_delta_siglip,min_delta_siglip,max_delta_siglip,siglip_win_rate,n
caption_like_human_observer,Caption like human observer,0.3387895107269287,0.01688621044158937,-0.03104579448699951,0.04082638025283819,0.8,0.20104431807994844,0.009400637447834034,-0.017023012042045593,0.07551845908164981,0.5,10
main_subject_first,Main subject first,0.3334440022706985,0.011540701985359192,-0.00016698241233820132,0.03259673714637751,0.9,0.20009917020797724,0.008455489575862887,-0.01195542514324191,0.026663035154342596,0.8,10
observer_identifying_details,Observer identifying details,0.3325025409460068,0.010599240660667425,-0.026089906692504883,0.03950813412666321,0.7,0.19916939139366147,0.007525710761547094,-0.05044959485530848,0.09833228588104251,0.5,10
observer_subject_action_objects,Observer subject-action-objects,0.32288902103900907,0.00098572075366975,-0.021716594696044866,0.035233706235885676,0.4,0.19713132977485653,0.005487649142742165,-0.0292970538139343,0.04631339013576513,0.6,10
semantic_with_uncertainty_control,Semantic with uncertainty control,0.33556143939495087,0.013658139109611523,-0.0092953741550445,0.03330034017562872,0.8,0.19705100953578944,0.005407328903675085,-0.015830859541892978,0.02392223477363581,0.7,10
not_generic_not_overdetailed,Not generic not overdetailed,0.3262782990932464,0.004374998807907105,-0.030260562896728516,0.02697736024856573,0.8,0.19703540951013562,0.005391728878021251,-0.012481391429901095,0.024075597524643,0.6,10
observer_supported_scene_meaning,Observer supported scene meaning,0.323061603307724,0.0011583030223846547,-0.03740867972373957,0.02859148383140564,0.6,0.19593182057142253,0.004288139939308178,-0.030745059251785306,0.06033092737197879,0.6,10
observer_distinctive_but_safe,Observer distinctive but safe,0.3313601970672607,0.009456896781921386,-0.01983195543289179,0.036490499973297175,0.6,0.1947421163320541,0.003098435699939722,-0.019155755639076177,0.03534491360187528,0.5,10
specific_supported_caption,Specific supported caption,0.3269387513399124,0.005035451054573065,-0.012586265802383423,0.030350476503372137,0.6,0.19252659827470775,0.0008829176425933811,-0.015505716204643305,0.021134972572326688,0.6,10
baseline,Baseline,0.3219033002853393,0.0,0.0,0.0,0.0,0.19164368063211437,0.0,0.0,0.0,0.0,10
visible_evidence_then_meaning,Visible evidence then meaning,0.32015920579433443,-0.0017440944910049384,-0.0379589200019837,0.03292813897132879,0.5,0.190072563290596,-0.0015711173415183938,-0.030897960066795294,0.0481683611869812,0.4,10
important_visual_elements,Important visual elements,0.3288380324840545,0.00693473219871521,-0.024736374616622925,0.03463774919509888,0.7,0.18966859132051464,-0.0019750893115997384,-0.030438676476478604,0.02554796636104581,0.6,10
subject_or_scene_center,Subject or scene center,0.31423174440860746,-0.007671555876731862,-0.03817224502563471,0.03189489245414734,0.3,0.18963251411914822,-0.002011166512966156,-0.021983250975608798,0.028734922409057617,0.3,10
clear_visual_support,Clear visual support,0.3208302110433578,-0.0010730892419815174,-0.04909729957580561,0.03240194916725153,0.6,0.18889343887567517,-0.002750241756439201,-0.02166858315467829,0.015720799565315302,0.4,10
observer_scene_specific,Observer scene specific,0.31854132711887356,-0.0033619731664657703,-0.043095678091049194,0.039823114871978704,0.5,0.18860704600811,-0.003036634624004375,-0.0825275182723999,0.06652325391769409,0.5,10
human_observer_retrieval_light,Human observer retrieval light,0.3245492815971375,0.002645981311798107,-0.030153185129165594,0.03561484813690191,0.6,0.18844425231218334,-0.0031994283199310303,-0.03118053078651431,0.040600746870040894,0.4,10
observer_three_part,Observer three-part,0.3234050005674362,0.0015017002820968683,-0.021588206291198786,0.039021313190460205,0.5,0.1882598407566547,-0.0033838398754596683,-0.03357986360788351,0.041227057576179504,0.4,10
observer_no_guessing,Observer no guessing,0.3121957302093506,-0.009707570075988759,-0.04824525117874151,0.03461834788322449,0.1,0.18814341649413105,-0.0035002641379833195,-0.0802110955119133,0.024843618273735102,0.6,10
observer_compact_evidence,Observer compact evidence,0.3191673904657364,-0.0027359098196029553,-0.04540559649467463,0.03341537714004522,0.6,0.18758209645748133,-0.004061584174633021,-0.03652377426624301,0.0346119105815888,0.4,10
observer_grounded_scene_caption,Observer grounded scene caption,0.3283855885267258,0.006482288241386419,-0.01323080062866211,0.03179827332496643,0.6,0.1859831035137176,-0.005660577118396756,-0.04770161211490628,0.016585007309913607,0.4,10
supported_activity_observer,Supported activity observer,0.2871219605207443,-0.03478133976459504,-0.07551401853561401,0.024557054042816107,0.1,0.14799078479409214,-0.043652895838022246,-0.13204051554203028,0.030185699462890597,0.2,10
