prompt_id,prompt_name,mean_clip,mean_delta_clip,min_delta_clip,max_delta_clip,clip_win_rate,mean_siglip,mean_delta_siglip,min_delta_siglip,max_delta_siglip,siglip_win_rate,n
semantic_with_uncertainty_control,Semantic with uncertainty control,0.33556143939495087,0.013658139109611523,-0.0092953741550445,0.03330034017562872,0.8,0.19705100953578944,0.005407328903675085,-0.015830859541892978,0.02392223477363581,0.7,10
msf_object_relation,MSF object relation,0.31687710881233216,-0.005026191473007197,-0.02175626158714289,0.015167504549026434,0.4,0.19551169425249096,0.0038680136203765895,-0.013073712587356512,0.029957547783851624,0.4,10
salient_details_only,Salient details only,0.3152555912733078,-0.006647709012031544,-0.0408752560615539,0.02125528454780573,0.5,0.19409949928522108,0.0024558186531067005,-0.010596737265586798,0.03570270538330081,0.4,10
msf_concrete_context,MSF concrete context,0.3190679311752319,-0.0028353691101074387,-0.03444293141365051,0.0116443932056427,0.6,0.1933778494596481,0.0017341688275337274,-0.0322411954402923,0.05151370167732239,0.5,10
examples_anchor_caption,Examples anchor caption,0.31763561367988585,-0.004267686605453486,-0.04504892230033869,0.0230246484279632,0.4,0.19259744882583613,0.0009537681937217768,-0.035580068826675415,0.027927339076995794,0.5,10
baseline,Baseline,0.3219033002853393,0.0,0.0,0.0,0.0,0.19164368063211437,0.0,0.0,0.0,0.0,10
image_specific_caption,Image-specific caption,0.32044394612312316,-0.001459354162216181,-0.042160242795944214,0.03617995977401739,0.6,0.18919198065996168,-0.0024516999721527002,-0.0447671413421631,0.0231292396783829,0.6,10
siglip_visible_alignment,SigLIP visible alignment,0.3185406684875488,-0.0033626317977905108,-0.0590961873531341,0.05199262499809271,0.3,0.18845969140529628,-0.003183989226818079,-0.07264021039009089,0.03746923804283139,0.5,10
visual_keyword_sentence,Visual keyword sentence,0.3169464707374573,-0.004956829547882069,-0.06179583072662348,0.025098115205764715,0.5,0.1870650485157966,-0.004578632116317744,-0.05864359438419339,0.022716164588928223,0.4,10
caption_for_retrieval,Caption for retrieval,0.3246946960687637,0.002791395783424383,-0.04052400588989258,0.04628372192382818,0.6,0.18662934750318522,-0.005014333128929141,-0.0242516100406647,0.01436690986156458,0.5,10
compact_grounded_detail,Compact grounded detail,0.3194770514965057,-0.002426248788833618,-0.057628154754638616,0.034880965948104914,0.4,0.18652456402778622,-0.005119116604328159,-0.0335538983345032,0.023762717843055697,0.4,10
supported_scene_grouping,Supported scene grouping,0.3151188373565673,-0.006784462928771984,-0.0673961341381073,0.04524478316307068,0.4,0.1863902151584625,-0.0052534654736518804,-0.043998718261718694,0.04178246855735779,0.4,10
careful_semantic_caption,Careful semantic caption,0.32734496295452115,0.0054416626691818236,-0.01997047662734991,0.02303215861320501,0.8,0.1830820515751838,-0.008561629056930534,-0.041197970509529086,0.018594115972518893,0.4,10
people_scene_balance,People-scene balance,0.32908608913421633,0.007182788848876959,-0.02077886462211609,0.026121139526367132,0.7,0.1817869074642658,-0.009856773167848578,-0.05022277683019641,0.04084901511669159,0.3,10
msf_no_minor_details,MSF no minor details,0.29905826449394224,-0.022845035791397083,-0.12267658114433289,0.024779915809631403,0.4,0.17767279148101806,-0.01397088915109632,-0.0744103342294693,0.018924236297607422,0.3,10
dominant_subject_or_scene,Dominant subject or scene,0.3128385066986084,-0.009064793586730947,-0.039534300565719604,0.01164987683296198,0.3,0.17727589011192318,-0.01436779052019117,-0.03886419534683219,0.028914496302604703,0.3,10
grounded_but_not_literal,Grounded but not literal,0.3002788364887238,-0.021624463796615596,-0.07293403148651117,0.011671066284179632,0.1,0.1735832646489143,-0.018060415983200066,-0.0771058648824692,0.030241236090660095,0.4,10
foreground_then_background,Foreground then background,0.31963130235671994,-0.0022719979286193958,-0.02616804838180542,0.020312130451202393,0.5,0.17287522479891773,-0.01876845583319664,-0.050301611423492404,0.0089298486709595,0.2,10
avoid_generic_social,Avoid generic social,0.297874653339386,-0.024028646945953358,-0.07356756925582891,0.014670312404632624,0.3,0.1509849816560745,-0.04065869897603988,-0.105167880654335,0.019888401031494196,0.2,10
specific_event_evidence,Specific event evidence,0.28694058358669283,-0.03496271669864654,-0.0895986557006836,0.01265645027160639,0.1,0.14685681015253063,-0.04478687047958374,-0.1392541602253914,-0.007945239543914795,0.0,10
examples_semantic_caution,Examples semantic caution,0.2701444968581199,-0.05175880342721939,-0.13298311829566958,0.021840721368789617,0.1,0.11296697631478306,-0.07867670431733131,-0.2700003907084464,-0.01870754361152649,0.0,10
