prompt_id,prompt_name,mean_clip,mean_delta_clip,min_delta_clip,max_delta_clip,clip_win_rate,mean_siglip,mean_delta_siglip,min_delta_siglip,max_delta_siglip,siglip_win_rate,n
specific_scene_without_overdetail,Specific scene without overdetail,0.33062695562839506,0.008723655343055737,-0.009225279092788696,0.04760101437568659,0.6,0.2017522811889648,0.010108600556850427,-0.016819462180137607,0.057754263281822205,0.6,10
caption_like_human_observer,Caption like human observer,0.3387895107269287,0.01688621044158937,-0.03104579448699951,0.04082638025283819,0.8,0.20104431807994844,0.009400637447834034,-0.017023012042045593,0.07551845908164981,0.5,10
foreground_or_shared_scene,Foreground or shared scene,0.31915554106235505,-0.0027477592229843083,-0.04624220728874201,0.018370747566223145,0.7,0.19490512609481808,0.003261445462703702,-0.011082515120506287,0.02303159236907959,0.6,10
scene_defining_details,Scene-defining details,0.3228014349937439,0.0008981347084045466,-0.025182455778122004,0.03292813897132879,0.6,0.19452693611383434,0.002883255481719979,-0.012933999300002996,0.02952608466148382,0.5,10
object_relation_scene,Object relation scene,0.3300763219594955,0.008173021674156188,-0.01848143339157099,0.032188087701797485,0.8,0.1932226963341236,0.0015790157020092177,-0.014518477022647802,0.02846966683864602,0.4,10
main_action_scene_specific,Main action scene specific,0.3198982506990432,-0.0020050495862960873,-0.026951611042022705,0.029426664113998413,0.5,0.19246190339326855,0.0008182227611541832,-0.02594892680644989,0.06157362461090091,0.5,10
baseline,Baseline,0.3219033002853393,0.0,0.0,0.0,0.0,0.19164368063211437,0.0,0.0,0.0,0.0,10
safe_semantic_retrieval,Safe semantic retrieval,0.3219575703144073,5.4270029067982065e-05,-0.04540577530860901,0.02363085746765131,0.6,0.1897213235497474,-0.001922357082366935,-0.024016395211219788,0.026886433362960815,0.4,10
balanced_visual_semantic,Balanced visual semantic,0.31472293883562086,-0.0071803614497184835,-0.08567328751087191,0.021485418081283625,0.6,0.18862015604972834,-0.0030235245823860045,-0.06751504540443418,0.029804989695548983,0.6,10
supported_scene_one_sentence,Supported scene one sentence,0.3230584979057312,0.0011551976203918513,-0.03834947943687439,0.04183819890022278,0.5,0.18804253339767452,-0.0036011472344398485,-0.03273260593414311,0.0387835949659347,0.3,10
retrieval_compact,Retrieval compact,0.30163816809654237,-0.020265132188796987,-0.0841783881187439,0.008691251277923584,0.4,0.18787899911403655,-0.003764681518077839,-0.03412541747093201,0.03629888594150549,0.4,10
sem_uncertainty_main_subject,Semantic uncertainty main subject,0.3242653906345367,0.002362090349197388,-0.02043285965919489,0.022304683923721313,0.5,0.18681142777204512,-0.004832252860069259,-0.0404641330242157,0.02715857326984411,0.5,10
distinctive_subject_object,Distinctive subject-object,0.3018703609704971,-0.02003293931484223,-0.05879718065261841,0.044857293367385864,0.2,0.1863351985812187,-0.005308482050895677,-0.093804121017456,0.0634353756904602,0.4,10
uncertainty_controlled_detail,Uncertainty controlled detail,0.32016624510288233,-0.0017370551824569757,-0.06561526656150818,0.0385443270206452,0.5,0.18292237818241117,-0.008721302449703202,-0.1012361049652099,0.032756030559539795,0.5,10
avoid_generic_with_support,Avoid generic with support,0.3228659749031067,0.000962674617767345,-0.059426695108413696,0.032619297504425104,0.6,0.1805101230740547,-0.01113355755805968,-0.0938872992992401,0.056478187441825894,0.4,10
supported_activity_caption,Supported activity caption,0.3173115193843842,-0.004591780900955189,-0.05618754029273987,0.0460799634456634,0.4,0.17816103547811502,-0.013482645153999346,-0.06814737617969521,0.019791126251220703,0.4,10
visible_evidence_caption,Visible evidence caption,0.33081171810626986,0.008908417820930487,-0.026487976312637385,0.045281082391738836,0.7,0.1756066650152206,-0.016037015616893767,-0.08183550834655762,0.03761410713195801,0.3,10
main_subject_supported_context,Main subject supported context,0.3100615039467811,-0.011841796338558206,-0.0678425878286362,0.02759978175163269,0.5,0.1707605846226215,-0.02088309600949287,-0.0704372227191925,0.03829057514667511,0.3,10
central_subject_or_scene_anchor,Central subject or scene anchor,0.31580061614513394,-0.0061026841402053835,-0.0816872119903565,0.03786146640777588,0.3,0.1645928896963596,-0.027050790935754777,-0.1386446207761765,0.027590960264205905,0.3,10
