prompt_id,prompt_name,mean_clip,mean_delta_clip,clip_win_rate,mean_siglip,mean_delta_siglip,siglip_win_rate,mean_caption_len,generic_rate
caption_like_human_observer,Caption like human observer,0.3387895107269287,0.016886210441589354,0.8,0.20104431807994844,0.009400637447834015,0.5,51.2,0.3
visible_evidence_caption,Visible evidence caption,0.33081171810626986,0.008908417820930482,0.7,0.17560666501522065,-0.016037015616893767,0.3,48.3,0.1
specific_scene_without_overdetail,Specific scene without overdetail,0.33062695562839506,0.008723655343055725,0.6,0.20175228118896485,0.010108600556850433,0.6,21.8,0.0
object_relation_scene,Object relation scene,0.33007632195949554,0.008173021674156188,0.8,0.19322269633412362,0.001579015702009201,0.4,28.2,0.1
sem_uncertainty_main_subject,Semantic uncertainty main subject,0.32426539063453674,0.002362090349197388,0.5,0.18681142777204512,-0.004832252860069275,0.5,38.7,0.2
supported_scene_one_sentence,Supported scene one sentence,0.3230584979057312,0.0011551976203918457,0.5,0.18804253339767457,-0.0036011472344398498,0.3,35.4,0.1
avoid_generic_with_support,Avoid generic with support,0.3228659749031067,0.000962674617767334,0.6,0.18051012307405473,-0.011133557558059693,0.4,51.8,0.2
scene_defining_details,Scene-defining details,0.3228014349937439,0.0008981347084045411,0.6,0.19452693611383437,0.0028832554817199707,0.5,45.6,0.1
safe_semantic_retrieval,Safe semantic retrieval,0.32195757031440736,5.4270029067993164e-05,0.6,0.18972132354974747,-0.0019223570823669433,0.4,31.3,0.1
baseline,Baseline,0.32190330028533937,0.0,0.0,0.1916436806321144,0.0,0.0,23.8,0.1
uncertainty_controlled_detail,Uncertainty controlled detail,0.3201662451028824,-0.0017370551824569703,0.5,0.1829223781824112,-0.008721302449703216,0.5,51.2,0.1
main_action_scene_specific,Main action scene specific,0.31989825069904326,-0.0020050495862960816,0.5,0.19246190339326857,0.0008182227611541748,0.5,28.1,0.1
foreground_or_shared_scene,Foreground or shared scene,0.31915554106235505,-0.002747759222984314,0.7,0.1949051260948181,0.0032614454627037047,0.6,28.3,0.1
supported_activity_caption,Supported activity caption,0.3173115193843842,-0.0045917809009552,0.4,0.17816103547811507,-0.013482645153999329,0.4,51.9,0.1
central_subject_or_scene_anchor,Central subject or scene anchor,0.315800616145134,-0.0061026841402053835,0.3,0.16459288969635963,-0.027050790935754777,0.3,54.1,0.1
balanced_visual_semantic,Balanced visual semantic,0.31472293883562086,-0.007180361449718476,0.6,0.1886201560497284,-0.0030235245823860167,0.6,44.5,0.1
main_subject_supported_context,Main subject supported context,0.31006150394678117,-0.011841796338558197,0.5,0.17076058462262153,-0.020883096009492876,0.3,53.3,0.1
distinctive_subject_object,Distinctive subject-object,0.30187036097049713,-0.020032939314842225,0.2,0.18633519858121872,-0.005308482050895691,0.4,53.3,0.3
retrieval_compact,Retrieval compact,0.30163816809654237,-0.020265132188796997,0.4,0.18787899911403655,-0.0037646815180778503,0.4,28.3,0.1
