prompt_id,prompt_name,mean_clip,mean_delta_clip,clip_win_rate,mean_siglip,mean_delta_siglip,siglip_win_rate,mean_caption_len,generic_rate
main_subject_first,Main subject first,0.33344400227069854,0.011540701985359192,0.9,0.2000991702079773,0.008455489575862885,0.8,32.2,0.1
clip_friendly,CLIP-friendly,0.32987232208251954,0.007969021797180176,0.6,0.19231238216161728,0.0006687015295028687,0.4,26.3,0.1
two_sentence_detail,Two-sentence detail,0.32708820104599,0.005184900760650635,0.5,0.19496888816356658,0.003325207531452179,0.6,45.1,0.1
dense_visual,Dense visual caption,0.32402571439743044,0.0021224141120910643,0.5,0.19077484011650087,-0.0008688405156135559,0.5,34.1,0.1
baseline,Baseline,0.32190330028533937,0.0,0.0,0.1916436806321144,0.0,0.0,23.8,0.1
grounded_detail,Grounded detail,0.3206480801105499,-0.0012552201747894286,0.6,0.1928659975528717,0.0012223169207572937,0.6,53.3,0.2
no_inference,No inference,0.3198092520236969,-0.0020940482616424562,0.5,0.1824719488620758,-0.009171731770038605,0.4,51.7,0.5
object_action,Object-action,0.317466014623642,-0.004437285661697388,0.4,0.1938790962100029,0.002235415577888489,0.5,25.4,0.1
anti_generic,Anti-generic,0.31156098544597627,-0.010342314839363098,0.5,0.18968730568885803,-0.0019563749432563783,0.5,52.9,0.2
short_phrase,Short phrase,0.3070286393165588,-0.014874660968780517,0.2,0.1780366748571396,-0.013607005774974822,0.5,13.0,0.0
